Samples	PO4(ppm)	sulfide_mg/L	SO42- (mg/L)	NH4+ (mg/L)	CH4(mg/kg)		Samples	C13--CH4 (AOM)	"d15N 
ä"		Samples	d13CV-PDB ä	DIC-C (mmol/L)		
515ROV01LPC-0	0.666 	0.82 	2096 	27.7 	11278.3 		 ROVO1-LPC-0 	-65.09 	21.2 		515ROV01LPC-0	-33.04 	8.79 		
515ROV01LPC-2	0.519 	43.52 	1796 	23.6 	4853.8 		 ROVO1-LPC-2 	-68.64 	1.4 		515ROV01LPC-2	-38.08 	11.03 		
515ROV01LPC-4	0.354 	58.01 	1128 	33.2 	11834.4 		 ROVO1-LPC-4 	-72.84 	-0.1 		515ROV01LPC-4	-43.83 	16.89 		
515ROV01LPC-6	0.279 	161.63 	322 	22.6 	36582.7 		 ROVO1-LPC-6 	-88.85 	0.1 		515ROV01LPC-6	-44.40 	23.33 		
515ROV01LPC-8	0.228 	317.47 	297 	19.7 	56892.3 		 ROVO1-LPC-8 	-88.67 	0.7 		515ROV01LPC-8	-40.86 	23.65 		
515ROV01LPC-10	0.274 	Ñ	70.3 	31.1 	228808.1 		 ROVO1-LPC-10 	-77.39 	1.3 		515ROV01LPC-15	-30.22 	23.16 		
515ROV01LPC-15	0.268 	206.18 	36.1 	29.5 	151783.5 		 ROVO1-LPC-15 	-70.25 	2.8 		515ROV01LPC-20	-28.06 	24.88 		
515ROV01LPC-20	0.321 	Ñ	32.1 	30.9 	234932.4 		 ROVO1-LPC-20 	-68.50 	-1.2 		515ROV01LPC-30	-29.20 	23.94 		
515ROV01LPC-25	0.286 	Ñ	31.2 	34.3 	542582.3 		 ROVO1-LPC-30 	-67.29 	-0.6 		515ROV01LPC-40	-28.08 	24.07 		
515ROV01LPC-30	0.206 	328.23 	39.5 	33.8 	52184.1 		 ROVO1-LPC-40 	-66.39 	-0.3 		515ROV01LPC-50	-27.50 	24.57 		
515ROV01LPC-35	0.175 	238.71 	53.2 	35.4 	65126.3 		 ROVO1-LPC-50 	-66.37 	12.6 		517ROV02LPC2-2	-9.22 	4.49 		
515ROV01LPC-40	0.165 	250.32 	19.9 	38.8 	31542.4 		 ROVO2-LPC2-2 	-74.63 	3.3 		517ROV02LPC2-4	-14.55 	6.20 		
515ROV01LPC-45	0.170 	208.87 	20.0 	30.5 	64292.4 		 ROVO2-LPC2-4 	-77.64 	7.6 		517ROV02LPC2-6	-16.50 	7.30 		
515ROV01LPC-50	0.212 	271.87 	29.6 	33.1 	33356.6 		 ROVO2-LPC2-6 	-76.76 	-0.6 		517ROV02LPC2-8	-21.04 	9.35 		
515ROV01LPC-55	0.216 	325.74 	45.7 	30.7 	40533.8 		 ROVO2-LPC2-8 	-73.74 	-2.2 		517ROV02LPC2-10	-31.32 	13.48 		
515ROV01LPC-60	0.183 	355.58 	17.3 	28.3 	38976.1 		 ROVO2-LPC2-10 	-73.93 	80.9 		517ROV02LPC2-15	-34.70 	23.45 		
515ROV01LPC-65	0.216 	1143.89 	16.4 	32.1 	65558.1 		 ROVO2-LPC2-15 	-69.55 	8.5 		517ROV02LPC2-20	-34.64 	23.02 		
515ROV01LPC-70	0.271 	430.99 	12.6 	35.5 	48256.4 		 ROVO2-LPC2-20 	-71.27 	-2.2 		517ROV02LPC2-30	-36.87 	22.25 		
517ROV02PC203-0	0.294 	0.28 	2568 	32.4 	6071.7 		 ROVO2-LPC2-30 	-69.54 	68.9 		517ROV02LPC2-40	-35.03 	10.80 		
517ROV02PC203-2	1.073 	0.13 	2540 	37.4 	5482.3 		 ROVO2-LPC2-40 	-61.40 	13.5 		517ROV02LPC2-40-2	-36.10 	10.96 		
517ROV02PC203-4	0.215 	0.10 	2387 	28.1 	3201.7 		 ROVO2-LPC2-50 	-72.81 	-1.6 		517ROV02LPC2-50	-41.41 	23.48 		
517ROV02PC203-6	0.207 	0.07 	2347 	33.8 	4755.6 		 ROVO2-LPC2-60 	-77.77 	-1.8 		517ROV02LPC2-60	-42.16 	20.55 		
517ROV02PC203-8	0.135 	0.07 	2251 	29.4 	4974.1 		ROV05-LPC-0	-76.68 	-4.0 		517ROV05LPC-0	-5.54 	3.59 		
517ROV02PC203-10	0.174 	0.06 	1359 	32.2 	3702.9 		ROV05-LPC-2	-77.22 	7.7 		517ROV05LPC-2	-5.82 	3.63 		
517ROV02PC203-15	0.246 	161.61 	266 	38.0 	135504.3 		ROV05-LPC-4	-76.58 	1.2 		517ROV05LPC-4	-5.07 	3.64 		
517ROV02PC203-20	0.234 	182.34 	57.4 	21.0 	151186.8 		ROV05-LPC-6	-77.20 	67.6 		517ROV05LPC-6	-4.68 	3.64 		
517ROV02PC203-25	0.238 	Ñ	245 	29.1 	208428.0 		ROV05-LPC-8	-77.24 	8.4 		517ROV05LPC-8	-6.59 	3.54 		
517ROV02PC203-30	0.252 	69.01 	144 	34.0 	28891.1 		ROV05-LPC-10	-75.95 	7.8 		517ROV05LPC-10	-7.25 	3.72 		
517ROV02LPC2-2	0.341 	0.80 	2474 	23.8 	2968.2 		ROV05-LPC-15	-75.68 	16.8 		517ROV05LPC-15	-7.36 	3.72 		
517ROV02LPC2-4	0.256 	0.15 	2374 	36.0 	8339.1 		ROV05-LPC-20	-77.56 	5.2 		517ROV05LPC-20	-8.30 	3.92 		
517ROV02LPC2-6	0.364 	0.12 	2213 	19.7 	11072.2 		ROV05-LPC-30	-76.34 	19.5 		517ROV05LPC-30	-12.02 	5.01 		
517ROV02LPC2-8	0.396 	0.08 	2024 	37.0 	10451.5 		ROV03-2LPC1-0	-76.77 	12.3 		519ROV03-2LPC1-0	-8.70 	4.05 		
517ROV02LPC2-10	0.249 	0.01 	1443 	39.2 	19989.5 		ROV03-2LPC1-4	-77.00 	10.7 		519ROV03-2LPC1-4	-6.81 	3.36 		
517ROV02LPC2-15	0.288 	Ñ	48.0 	33.6 	127412.3 		ROV03-2LPC1-6	-77.99 	4.5 		519ROV03-2LPC1-6	-8.29 	2.90 		
517ROV02LPC2-20	0.338 	171.58 	31.3 	37.4 	168109.3 		ROV03-2LPC1-8	-75.00 	1.1 		519ROV03-2LPC1-8	-7.89 	3.00 		
517ROV02LPC2-25	0.247 	Ñ	NA		120876.7 		ROV03-2LPC1-10	-75.18 	2.5 		519ROV03-2LPC1-10	-8.94 	2.89 		
517ROV02LPC2-30	0.283 	Ñ	13.2 	22.4 	108292.2 		ROV03-2LPC1-15	-74.28 	47.4 		519ROV03-2LPC1-15	-12.06 	3.46 		
517ROV02LPC2-35	0.212 	290.10 	15.7 	35.4 	153353.5 		ROV03-2LPC1-20	-74.31 	7.4 		519ROV03-2LPC1-20	-16.14 	3.87 		
517ROV02LPC2-40	0.223 	Ñ	6.72 	33.1 	39614.8 		 ROV03-2LPC1-30 	-73.08 	8.7 		519ROV03-2LPC1-30	-21.50 	4.95 		
517ROV02LPC2-45	0.150 	331.55 	19.6 	35.0 	449810.1 		 ROV03-2LPC1-40 	-74.09 	1.9 		519ROV03-2LPC1-40	-23.32 	4.79 		
517ROV02LPC2-50	0.110 	30.25 	16.1 	29.7 	118018.4 		 ROV03-2LPC1-50 	-71.56 	13.6 		519ROV03-2LPC1-40-2	-23.20 	4.74 		
517ROV02LPC2-55	0.048 	22.38 	22.2 	36.2 	772285.6 		 ROV03-2LPC1-60 	-72.22 	2.4 		519ROV03-2LPC1-50	-26.51 	6.03 		
517ROV02LPC2-60	0.279 	Ñ	10.7 	30.5 	28976.1 						519ROV03-2LPC1-60	-28.08 	6.27 		
517ROV02LPC2-65	0.072 	275.59 	15.7 	31.4 	228749.5 										
517ROV02LPC2-70	0.182 	Ñ	0.657 	34.7 	9167.0 										
517ROV05LPC-0	0.192 	0.06 	2606 	23.1 	2361.8 										
517ROV05LPC-2	0.221 	0.05 	2633 	33.4 	1974.8 										
517ROV05LPC-4	0.363 	0.05 	2641 	21.0 	2110.2 										
517ROV05LPC-6	0.433 	0.04 	2616 	27.7 	2228.9 										
517ROV05LPC-8	0.403 	0.03 	2586 	27.7 	2040.9 										
517ROV05LPC-10	0.386 	0.05 	2568 	24.1 	2287.9 										
517ROV05LPC-15	0.313 	0.04 	2605 	27.2 	2413.9 										
517ROV05LPC-20	0.441 	0.29 	2606 	33.0 	2107.2 										
517ROV05LPC-25	0.399 	0.02 	2540 	32.7 	2187.8 										
517ROV05LPC-30	0.447 	0.02 	2516 	25.9 	1865.6 										
517ROV05LPC-35	0.529 	0.01 	2507 	30.3 	2333.7 										
517ROV05LPC-40	0.512 	Ñ	2513 	36.7 	2226.8 										
517ROV05LPC-45	0.294 	0.02 	2493 	33.9 	1975.4 										
519ROV03-2PC201-0	0.312 	10.98 	1993 	29.6 	9393.6 										
519ROV03-2PC201-2	0.307 	738.37 	1832 	29.0 	36484.6 										
519ROV03-2PC201-4	0.406 	574.24 	1943 	32.2 	27987.0 										
519ROV03-2PC201-6	0.504 	699.82 	1878 	27.2 	30175.9 										
519ROV03-2PC201-8	0.554 	439.54 	1821 	25.6 	34583.7 										
519ROV03-2PC201-10	0.678 	0.46 	1864 	31.0 	16889.0 										
519ROV03-2PC201-15	0.785 	0.04 	1902 	22.4 	22780.9 										
519ROV03-2PC203-0	0.591 	0.02 	2651 	27.8 	1833.4 										
519ROV03-2PC203-2	0.240 	0.03 	2601 	36.1 	1502.6 										
519ROV03-2PC203-4	0.273 	0.02 	2554 	25.0 	5041.0 										
519ROV03-2PC203-6	0.221 	0.12 	2520 	26.5 	6757.4 										
519ROV03-2PC203-8	0.254 	0.00 	2527 	23.5 	7941.1 										
519ROV03-2PC203-10	0.256 	0.29 	2582 	25.3 	5660.0 										
519ROV03-2PC203-15	0.556 	0.02 	2404 	28.8 	7203.8 										
519ROV03-2PC203-20	0.244 	Ñ	2179 	26.6 	2513.9 										
519ROV03-2PC203-25	0.218 	0.01 	2115 	23.4 	3876.5 										
519ROV03-2LPC1-0	0.054 	0.01 	2607 	27.2 	1806.6 										
519ROV03-2LPC1-4	0.111 	0.01 	2545 	23.9 	3210.0 										
519ROV03-2LPC1-6	0.089 	9.06 	2556 	28.9 	3341.8 										
519ROV03-2LPC1-8	0.105 	0.02 	2514 	27.5 	3372.0 										
519ROV03-2LPC1-10	0.094 	0.02 	2516 	30.2 	3239.5 										
519ROV03-2LPC1-15	0.146 	0.01 	2445 	30.8 	3442.1 										
519ROV03-2LPC1-20	0.116 	0.02 	2392 	40.8 	3535.5 										
519ROV03-2LPC1-25	0.109 	0.01 	2382 	26.5 	2977.2 										
519ROV03-2LPC1-30	0.135 	0.03 	2298 	24.6 	3517.4 										
519ROV03-2LPC1-35	0.117 	0.04 	2286 	26.8 	3591.6 										
519ROV03-2LPC1-40	0.114 	0.03 	2211 	26.0 	3284.5 										
519ROV03-2LPC1-45	0.131 	0.04 	2222 	26.4 	3863.2 										
519ROV03-2LPC1-50	0.131 	0.01 	2192 	37.3 	4244.3 										
519ROV03-2LPC1-55	0.129 	Ñ	2162 	28.4 	4164.7 										
519ROV03-2LPC1-60	0.123 	Ñ	2159 	24.3 	4103.8 										
519ROV03-2LPC1-65	0.132 	Ñ	2178 	36.0 	4118.3 										
519ROV03-2LPC1-70	0.117 	Ñ	2171 	29.3 	3356.5 										
519ROV03-2LPC1-75	0.099 	Ñ	2200 	38.3 	3170.0 										
522ROV01-2PC203-0	0.250 	Ñ	2163 	25.0 	11766.9 										
522ROV01-2PC203-2	0.303 	Ñ	1784 	23.5 	33244.0 										
522ROV01-2PC203-6	0.437 	40.61 	1188 	21.9 	29384.7 										
522ROV01-2PC203-8	0.491 	54.69 	998 	29.2 	44281.2 										
522ROV01-2PC203-10	0.886 	62.95 	803 	28.2 	34598.5 										
522ROV01-2PC203-15	0.428 	109.37 	331 	29.7 	29518.4 										
522ROV01-2PC203-20	0.343 	105.66 	106 	32.7 	48936.8 										
522ROV01-2PC203-25	0.227 	130.53 	66.1 	29.2 	37100.1 										
522ROV01-2PC203-30	0.273 	126.38 	54.1 	29.2 	33788.3 										
522ROV01-2LPC1-0	0.674 	0.07 	2083 	24.8 	35998.3 										
