	Depth	Core-type	Day	Habitat	Sampling	ROV
D515ROV1LPC.0	0cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.10	10cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.15	15cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.20	20cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.25	25cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.30	30cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.35	35cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.40	40cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.45	45cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.5	5cm	LPC	D515	mussel	porewater	ROV1
D515ROV1LPC.50	50cm	LPC	D515	mussel	porewater	ROV1
D515ROV1PC201.0	0cm	PC	D515	mussel	porewater	ROV1
D515ROV1PC201.10	10cm	PC	D515	mussel	porewater	ROV1
D515ROV1PC201.15	15cm	PC	D515	mussel	porewater	ROV1
D515ROV1PC201.20	20cm	PC	D515	mussel	porewater	ROV1
D515ROV1PC201.25	25cm	PC	D515	mussel	porewater	ROV1
D515ROV1PC201.5	5cm	PC	D515	mussel	porewater	ROV1
D515ROV4BC3.0	0cm	BC	D515	control	porewater	ROV4
D515ROV4BC3.10	10cm	BC	D515	control	porewater	ROV4
D515ROV4BC3.15	15cm	BC	D515	control	porewater	ROV4
D515ROV4BC3.20	20cm	BC	D515	control	porewater	ROV4
D515ROV4BC3.25	25cm	BC	D515	control	porewater	ROV4
D515ROV4BC3.5	5cm	BC	D515	control	porewater	ROV4
D515ROV4BC4.0	0cm	BC	D515	control	porewater	ROV4
D515ROV4BC4.10	10cm	BC	D515	control	porewater	ROV4
D515ROV4BC4.15	15cm	BC	D515	control	porewater	ROV4
D515ROV4BC4.20	20cm	BC	D515	control	porewater	ROV4
D515ROV4BC4.5	5cm	BC	D515	control	porewater	ROV4
D517ROV2LPC1.0	0cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC1.10	10cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC1.15	15cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC1.20	20cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC1.25	25cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC1.30	30cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC1.5	5cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.0	0cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.10	10cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.15	15cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.20	20cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.25	25cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.30	30cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.35	35cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.40	40cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.45	45cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.5	5cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.50	50cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.55	55cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.60	60cm	LPC	D517	mussel	porewater	ROV2
D517ROV2LPC2.65	65cm	LPC	D517	mussel	porewater	ROV2
