Feature_id	Taxon	Confidence
b4e9bef6c63299d4e194c831529f5054	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Nectriaceae;D_10__Fusarium;D_11__Fusarium oxysporum	0.839257575
2ecb00211b46f54e09578b71230142c5	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Pteriomorphia;D_9__Pectinoida;D_10__Placopecten magellanicus (sea scallop)	0.999992859
c50e49ca8a0ad76bb743f9851deb3fce	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Suillaceae;D_10__Suillus;D_11__Suillus lakei	0.999947932
32bda0dd46d7ff44c4a49c93a31b15b1	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Cladosporiaceae;D_10__Cladosporium	0.730543348
6b453d1b23f7f275143d3b17acd0208a	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_10__Tetrapoda;D_11__Mammalia	0.998493103
c5234f786f9b058a167c9371a11c8f2b	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Fabales;D_11__Medicago;D_12__Medicago truncatula (barrel medic)	0.873832139
20e1936c8bce3a8dc4b68928896c81f1	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_10__Neoptera;D_11__Hymenoptera;D_12__Apis mellifera (honey bee)	0.997606506
14d3c3dc896cb2ee514a2218adf4e94d	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Malasseziaceae;D_10__Malassezia	0.999999084
0c8781e52605ba027dfbeda69f672023	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Caudofoveata;D_8__Chaetodermatida;D_9__Chaetoderma nitidulum	0.721199435
acaba14def8e9365a201940dff7fd2b6	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Pleosporaceae;D_10__Alternaria;D_11__Alternaria alternata	0.88509459
fe09af5947c35a5256f3b90dd20fd3a0	D_0__Eukaryota	1
b78259a591e4e52401899ff1c607df48	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Malasseziaceae;D_10__Malassezia;D_11__uncultured fungus	0.775393126
7a6c745e4c659a90a7669940e4f05d54	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_11__Neopterygii;D_12__Teleostei;D_13__Oreochromis niloticus (Nile tilapia)	0.735903319
62ec74a745002bd926bac577c9253f6e	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_10__Tetrapoda;D_11__Mammalia	0.979658351
