Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175243|HQ871913.1 Uncultured Ascomycota clone UAP7754 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",522,1,401,81.8,83.04,98.5,120.42,6,518.8,1.00E-26,175243,Eukaryota,Fungi,Ascomycota,unk_c,unk_o,unk_f,unk_g,uncultured Ascomycota
"27338|KU325285.1 Sordaria fimicola strain P6_B8_721 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",232,1,459,67.32,69.06,97.48,144.79,2.55,228.36,1.00E-26,5146,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,
"29916|MG575044.1 Fusarium sp. strain TN1.1MLC4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",222,1,399,73.43,73.93,99.32,135.25,2.22,218.83,1.00E-26,29916,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp.
"127511|AB012574.1 Vibrio phage Vf12 DNA, complete genome",31316,21,7965,63.1,64.75,97.46,154.45,17.67,31252.42,1.00E-26,2732885,Viruses,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Villovirus,
9606|X14299.1 Human alpha satellite DNA (pSX1),192,0,341,73.31,75.66,96.9,132.17,2.12,189.29,1.00E-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|X03455.1 Human alpha repetitive DNA sequence (alpha-R1-107),112,0,169,69.82,71.01,98.33,140.83,2.69,110.66,1.00E-25,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|X13638.1 Human alphoid repetitive DNA sequence (alpha-R1-6, 1'monomer)",152,0,171,94.15,97.08,96.99,103.01,3.36,150.64,1.00E-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|M28031.1 Human alphoid repetitive DNA, subclone pHS53",1598,6,2550,61.84,62.9,98.32,158.98,2.68,1577.74,1.00E-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|K00901.1 Human centromere tandem repetitive DNA,310,0,340,99.12,100,99.12,100,4.15,307.29,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M20434.1 Human alphoid satellite DNA repeat (h-alpha-RI), clone 9",548,0,340,98.53,99.71,98.82,100.29,7.03,545.29,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|M93288.1 Human alpha-satellite repetitive DNA,636,2,1026,77.58,78.75,98.51,126.98,3.19,627.85,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ295042.1 Homo sapiens alpha satellite, alphaRI-14 probe",178,0,346,99.71,99.71,100,100.29,2.44,175.25,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AF247228.1 Homo sapiens clone 5-3.59.4B immunoglobulin lambda light chain variable region gene, partial cds",170,0,288,60.07,60.07,100,166.47,2.03,167.71,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
225164|XM_009061673.1 Lottia gigantea hypothetical protein partial mRNA,3908,2,879,96.7,100.11,96.59,99.89,33.78,3900.98,1.00E-26,72691,Eukaryota,Metazoa,Mollusca,Gastropoda,unk_o,Lottiidae,Lottia,
"6265|LM058849.1 Toxocara canis genome assembly T_canis_Equador ,scaffold TCNE_contig0013265",478,2,952,23.21,25.74,90.2,388.57,0.34,470.45,1.00E-26,33259,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Toxocaridae,,
"42155|LK926798.1 Brugia timori genome assembly B_timori_Indonesia_v1_0_4 ,scaffold BTMF_contig0014686",320,1,520,54.04,54.04,100,185.05,2.31,315.87,1.00E-26,42155,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia timori
"318479|LK979248.1 Dracunculus medinensis genome assembly D_medinensis_Ghana ,scaffold DME_contig0000878",1024,3,1443,86.42,87.32,98.97,114.52,3.06,1012.53,1.00E-26,318479,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus,Dracunculus medinensis
"6269|LL360234.1 Anisakis simplex genome assembly A_simplex ,scaffold ASIM_contig0030024",1122,1,512,97.07,98.83,98.22,101.19,9.02,1117.92,1.00E-26,6268,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Anisakidae,Anisakis,
