Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
greenalgae-Micromonas_pusilla-1324510at2759-S1	2	292	7	299	1458	20.51	97.66
greenalgae-Chloropicon_roscoffensis-100698at2759-S1	1	149	0	149	2310	6.45	100.0
greenalgae-Chloropicon_roscoffensis-160593at2759-S1	1	150	0	150	7370	2.04	100.0
greenalgae-Chloropicon_roscoffensis-245208at2759-S1	2	298	1	299	3288	9.09	99.67
greenalgae-Chloropicon_roscoffensis-296129at2759-S1	1	150	0	150	2982	5.03	100.0
greenalgae-Chloropicon_roscoffensis-679771at2759-S1	2	300	0	300	1167	25.71	100.0
greenalgae-Chloropicon_roscoffensis-736068at2759-S1	1	147	3	150	3393	4.42	98.0
greenalgae-Chloropicon_roscoffensis-1228942at2759-S1	2	300	0	300	867	34.6	100.0
greenalgae-Chloropicon_roscoffensis-1312453at2759-S1	2	287	0	287	4281	6.7	100.0
greenalgae-Chloropicon_roscoffensis-1346165at2759-D1	1	147	1	148	1987	7.45	99.32
greenalgae-Chloropicon_roscoffensis-1450538at2759-S1	1	149	0	149	1092	13.64	100.0
greenalgae-Prasinoderma_singulare-513979at2759-S1	2	300	0	300	1797	16.69	100.0
greenalgae-Prasinoderma_singulare-1228942at2759-S1	1	150	0	150	813	18.45	100.0
greenalgae-Prasinoderma_singulare-1379600at2759-S1	2	228	2	230	2881	7.98	99.13
greenalgae-Chloropicon_mariensis-834694at2759-S1	2	211	1	212	2235	9.49	99.53
greenalgae-Pycnococcus_provasolii-664730at2759-S1	2	294	0	294	1284	22.9	100.0
greenalgae-Chloropicon_primus-324863at2759-S1	1	150	0	150	4920	3.05	100.0
fungi-Malassezia_restricta-996662at2759-S1	2	241	1	242	2211	10.95	99.59
fungi-Malassezia_restricta-1593937at2759-S1	2	237	3	240	4866	4.93	98.75
fungi-Malassezia_restricta-1079827at2759-S1	2	298	0	298	912	32.68	100.0
fungi-Malassezia_restricta-858842at2759-S1	1	145	4	149	2217	6.72	97.32
fungi-Malassezia_restricta-1442062at2759-S1	3	445	4	449	2919	15.38	99.11
fungi-Malassezia_restricta-1173229at2759-S1	2	291	6	297	1242	23.91	97.98
fungi-Malassezia_globosa_CBS_7966-582756at2759-S1	2	291	5	296	1665	17.78	98.31
fungi-Malassezia_globosa_CBS_7966-418107at2759-S1	2	292	4	296	1503	19.69	98.65
