Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"91357|AF118019.1 Pseudoalteromonas sp. RE10F/5 16S ribosomal RNA gene, partial sequence",1244,7,1497,47.76,47.83,99.86,209.08,3.76,1220.81,1e-26,91357,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. RE10F/5
"38313|AB079850.1 Shewanella algae gene for sphingolipid ceramide N-deacylase, complete cds, strain:NS589",5334,15,2979,98.66,99.83,98.82,100.17,7.2,5287.65,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"34034|AJ535233.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-19",42064,7,1500,99.47,99.53,99.93,100.47,115.53,42040.58,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AJ535247.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-22",5308,7,1526,92.86,93.12,99.72,107.39,16.23,5284.21,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AJ535254.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-52",2380,7,1523,58.17,58.24,99.89,171.7,6.98,2356.32,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"115547|AJ578084.1 Uncultured archaeon partial 16S rDNA gene, clone HydBeg01",7386,7,1358,55.23,55.67,99.21,179.63,33.57,7364.82,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578086.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal31",5604,4,927,54.8,54.8,100.0,182.48,27.53,5589.54,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578087.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal51",596,5,1024,57.71,58.01,99.49,172.39,3.15,580.2,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578120.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal52",958,7,1364,77.57,79.47,97.6,125.83,4.4,936.9,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
198431|AJ811965.1 Uncultured prokaryote oil02 gene for ester hydrolases,3662,19,3780,74.26,74.95,99.08,133.43,4.2,3603.38,1e-26,198431,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured prokaryote
"199737|AJ937675.1 Uncultured candidate division WS3 bacterium 16S rRNA gene (partial), ITS1, tRNA-Ile gene, tRNA-Ala gene and 23S rRNA gene (partial), clone b1bcf1.1.f04.rrna.clone7",11314,21,4085,63.45,66.59,95.29,150.18,20.0,11250.36,1e-26,74015,Bacteria,unk_k,Candidatus Latescibacteria,unk_c,unk_o,unk_f,,
115547|CR937009.1 uncultured archaeon fos0644c1,120908,204,39253,93.95,96.91,96.95,103.18,20.25,120296.37,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|CR937011.1 uncultured archaeon fos0625e3,48480,205,39450,76.87,78.42,98.03,127.52,6.24,47867.33,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|CR937012.1 uncultured archaeon fos0642g6,216430,200,38616,69.86,73.13,95.53,136.75,35.44,215827.76,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
115547|AM181050.1 Uncultured archaeon partial rir gene including GZf-10C7 RIR intein,17974,9,1773,97.07,99.66,97.4,100.34,72.52,17946.33,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|AM181052.1 Uncultured archaeon partial rir1 gene including Pfu RIR1-2 intein,9010,4,924,94.81,100.0,94.81,100.0,73.92,8995.58,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"663|AF230931.1 Vibrio alginolyticus strain 86148 Hsp60 (hsp60) gene, partial cds",340,2,556,87.41,87.41,100.0,114.4,2.7,331.41,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
