Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X00149.1 Saccharomyces cerevisiae mt 21s rRNA gene r1-intron,1410,4,1276,23.51,23.51,100.0,425.33,7.41,1395.69,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"3659|X69163.1 C.sativus satellite DNA, type IV",5892,1,360,91.67,93.06,98.51,107.46,105.74,5887.95,1e-26,3659,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus
9606|Z12012.1 H.Sapiens alpha satellite DNA,360,2,685,41.46,41.61,99.65,240.35,2.06,352.36,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X00470.1 Human satellite I sequence,2720,3,916,40.61,41.27,98.41,242.33,16.9,2709.7,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M64779.1 Human D8Z2 gene, partial sequence",9148,9,2554,38.21,38.29,99.8,261.15,14.51,9119.28,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M28031.1 Human alphoid repetitive DNA, subclone pHS53",5980,9,2550,41.53,42.2,98.42,236.99,10.99,5951.34,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|K00901.1 Human centromere tandem repetitive DNA,4506,1,340,87.06,87.65,99.33,114.09,57.35,4502.17,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M18120.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-72",1398,1,343,67.35,68.22,98.72,146.58,17.73,1394.14,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M18124.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-31",464,1,344,75.87,79.07,95.96,126.47,6.92,460.14,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|M20434.1 Human alphoid satellite DNA repeat (h-alpha-RI), clone 9",368,1,340,50.0,50.29,99.42,198.83,4.51,364.19,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|M93286.1 Human alpha-satellite repetitive DNA,3874,5,1361,36.88,37.62,98.05,265.82,11.3,3858.7,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|M93288.1 Human alpha-satellite repetitive DNA,2082,3,1026,28.56,29.14,97.99,343.14,10.23,2070.47,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|U82614.1 Human possible DNA-binding RNA,3482,3,978,28.53,28.53,100.0,350.54,12.48,3471.0,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"63658|NR_028681.1 Thiomicrospira kuenenii strain JB-A1 16S ribosomal RNA gene, partial sequenceAF013978.1 Thiomicrospira sp. JB-A1 16S ribosomal RNA gene, partial sequence",3522,5,1459,31.87,32.69,97.48,305.87,14.6,3505.6,1e-26,28884,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,
