Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
7224|M12580.1 Drosophila hydei Y chromosome lampbrush loop transcribed repeats,1186,0,861,30.43,33.57,90.66,297.92,2.19,1184.95,1e-26,7214,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,,
"40223|NR_036802.1 Methylophaga thalassica strain YK-4015 16S ribosomal RNA gene, partial sequenceX95460.1 M.thalassica mRNA for 16S ribosomal RNA",1064,0,1491,66.6,66.6,100.0,150.15,3.62,1062.18,1e-26,40223,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,Methylophaga thalassica
"998674|X87285.1 L.mucor 23S rRNA gene, DSM 2157 T",2182,1,2883,50.92,55.05,92.5,181.66,5.77,2178.47,1e-26,135617,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,,
"49186|NR_024699.1 Marinobacterium stanieri strain ATCC 27130 16S ribosomal RNA gene, partial sequenceAB021367.1 Marinobacterium stanieri gene for 16S rRNA, strain: ATCC 27130",9554,0,1517,98.88,99.41,99.47,100.6,27.35,9552.14,1e-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"90841|AJ240975.1 uncultured delta proteobacterium Sva0081 16S rRNA gene, partial",1064,0,1521,62.85,63.25,99.38,158.11,2.96,1062.14,1e-26,90841,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium Sva0081
"90844|AJ240980.1 uncultured delta proteobacterium Sva1034 16S rRNA gene, partial",2542,0,1516,65.17,65.7,99.2,152.21,7.24,2540.14,1e-26,90844,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium Sva1034
"49186|AB039614.1 Marinobacterium stanieri rpoD gene for DNA-directed RNA polymerase subunit D, partial cds, strain: ATCC 27130",600,0,798,77.57,78.57,98.72,127.27,3.76,599.02,1e-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"49186|AB048521.1 Pseudomonas stanieri gyrB gene for DNA gyrase B subunit, partial cds",790,0,1160,83.53,87.16,95.85,114.74,3.96,788.58,1e-26,135620,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,,
"45622|AJ307979.1 Propionigenium maris 23S rRNA gene, strain DSM 9537 T",1660,1,2934,43.32,46.01,94.15,217.33,3.88,1656.41,1e-26,203492,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,
"77097|AJ306874.1 Halomonas aquamarina partial 23S rRNA gene, strain DSM 30161",1854,1,2914,30.65,30.99,98.89,322.7,3.36,1850.44,1e-26,77097,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas aquamarina
"158755|AJ535222.1 Uncultured Cytophagales partial 16S rRNA gene, clone Hyd24-2-2",920,0,1310,49.85,50.92,97.9,196.4,3.42,918.4,1e-26,200666,Bacteria,unk_k,Bacteroidota,Sphingobacteriia,Sphingobacteriales,unk_f,unk_g,
"34034|AJ535238.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd24-21",1314,0,1473,70.33,71.55,98.29,139.75,3.92,1312.2,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"34034|AJ535243.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd24-30",1080,0,1522,59.07,59.13,99.89,169.11,3.11,1078.14,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|AJ535255.1 Uncultured bacterium partial 16S rRNA gene, clone Hyd89-65",760,0,1479,63.56,63.76,99.68,156.84,2.6,758.19,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"187066|AJ431238.1 Cytophaga sp. BHI80-3 16S rRNA gene, strain BHI80-3",1082,0,1504,28.06,28.26,99.29,353.88,3.3,1080.16,1e-26,187066,Bacteria,unk_k,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga sp. BHI80-3
"152509|AY542552.1 Uncultured Bacteroidetes bacterium clone GoM GB425 02B-58 16S ribosomal RNA gene, partial sequence",1458,0,1334,51.05,52.1,97.99,191.94,5.03,1456.37,1e-26,976,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,
"86473|AY542553.1 Uncultured gamma proteobacterium clone GoM GB425 68B-15 16S ribosomal RNA gene, partial sequence",2068,0,1365,72.23,72.6,99.5,137.74,7.03,2066.33,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"152509|AY542563.1 Uncultured Bacteroidetes bacterium clone GoM GB425 68B-43 16S ribosomal RNA gene, partial sequence",2758,0,1336,54.04,54.49,99.18,183.52,10.34,2756.36,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"86473|AY542571.1 Uncultured gamma proteobacterium clone GoM GB425 02B-38 16S ribosomal RNA gene, partial sequence",384,0,666,72.22,74.47,96.98,134.27,2.92,383.19,1e-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
