Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175245|KX176119.1 Uncultured fungus clone Otu1796 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence",150,1,206,97.57,97.57,100,102.49,2.93,145.19,1.00E-26,175245,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
763407|XM_018430919.1 Phycomyces blakesleeanus NRRL 1555(-) hypothetical protein partial mRNA,272,3,501,32.34,34.33,94.19,291.28,0.8,260.35,1.00E-26,1344966,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Phycomycetaceae,,
"175244|MF532862.1 Uncultured Basidiomycota isolate CROP_denovo_6832 internal transcribed spacer 1, partial sequence",544,1,170,98.24,100,98.24,100,12,539.98,1.00E-26,5204,Eukaryota,Fungi,Basidiomycota,unk_c,unk_o,unk_f,unk_g,
9940|Z18541.1 O.aries centromerically located satellite DNA,958,6,815,67.24,67.85,99.1,147.38,5.89,938.85,1.00E-26,9940,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
9940|Z17215.1 O.aries satellite DNA,698,6,815,44.17,44.29,99.72,225.76,4.76,678.92,1.00E-26,9940,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
9606|Z14069.1 H.sapiens alpha satellite DNA (clone pW14-24),518,5,680,61.76,62.21,99.29,160.76,2.99,502.1,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|M31753.1 Human 13-mer higher-order alpha satellite repeat,336,4,527,45.54,45.54,100,219.58,2.28,323.71,1.00E-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9940|U24094.1 Ovis aries satellite II repeat, clone SMR8",300,3,439,57.4,57.63,99.6,173.52,3.05,289.75,1.00E-26,9940,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
9940|U25964.1 Ovis aries chromosome X centromeric satellite I DNA sequence,828,6,816,51.35,51.59,99.52,193.82,5.14,808.86,1.00E-26,9940,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
"9606|AJ342922.1 Homo sapiens genomic sequence surrounding NotI site, clone NL1-HE5R",336,5,665,38.5,41.2,93.43,242.7,2.71,320.56,1.00E-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9940|AF245169.1 Ovis aries microsatellite II sequence,818,3,486,81.28,83.33,97.53,120,6.87,806.55,1.00E-26,9935,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,
"256131|AY377658.1 Chaetoderma nitidulum 18S ribosomal RNA gene, partial sequence",7868,14,1798,99,100.17,98.83,99.83,27.97,7825.48,1.00E-26,256131,Eukaryota,Metazoa,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,Chaetoderma,Chaetoderma nitidulum
