Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"49186|NR_024699.1 Marinobacterium stanieri strain ATCC 27130 16S ribosomal RNA gene, partial sequenceAB021367.1 Marinobacterium stanieri gene for 16S rRNA, strain: ATCC 27130",6860,0,1517,99.21,99.93,99.27,100.07,20.01,6859.25,1e-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"90844|AJ240980.1 uncultured delta proteobacterium Sva1034 16S rRNA gene, partial",870,0,1516,79.62,79.75,99.83,125.39,2.57,869.25,1e-26,90844,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium Sva1034
"90832|AJ240988.1 uncultured gamma proteobacterium Sva0864 16S rRNA gene, partial",1952,0,1501,68.95,69.29,99.52,144.33,6.59,1951.26,1e-26,90832,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured gamma proteobacterium Sva0864
132520|AJ297468.1 Uncultured delta proteobacterium Sva0501 partial 16S rRNA gene,860,0,714,71.15,71.57,99.41,139.73,5.24,859.65,1e-26,132520,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium Sva0501
"49186|AB048521.1 Pseudomonas stanieri gyrB gene for DNA gyrase B subunit, partial cds",748,0,1160,86.64,87.84,98.63,113.84,3.16,747.43,1e-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"29570|NR_042066.1 Halomonas meridiana strain DSM 5425 16S ribosomal RNA gene, partial sequenceAJ306891.1 Halomonas meridiana partial 16S rRNA gene, strain DSM 5425KC178681.1 Halomonas meridiana strain BVR 1 16S ribosomal RNA gene, partial sequence",810,0,1528,64.86,64.99,99.8,153.88,2.44,809.25,1e-26,29570,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas meridiana
"86473|AJ535246.1 Uncultured gamma proteobacterium partial 16S rRNA gene, clone Hyd89-87",1370,0,1499,96.26,96.73,99.52,103.38,3.96,1369.26,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"152509|AY222319.1 Uncultured Bacteroidetes bacterium clone CFB 1 16S ribosomal RNA gene, partial sequence",862,0,1478,49.53,49.59,99.86,201.64,2.55,861.27,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"187320|AY869365.1 Uncultured Fibrobacteres/Acidobacteria group bacterium clone I3K-0430 16S ribosomal RNA gene, partial sequence",246,0,450,77.11,78.0,98.86,128.21,2.34,245.78,1e-26,187320,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured Fibrobacteres/Acidobacteria group bacterium
"34034|AY771959.1 Uncultured delta proteobacterium clone SN25 16S ribosomal RNA gene, partial sequence",942,0,1521,36.95,36.95,100.0,270.64,2.55,941.25,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
