Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
9940|Z18540.1 O.aries centromerically located satellite DNA,536,2,815,35.58,35.71,99.66,280.07,3.04,528.75,1e-26,9940,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
9606|Z16957.1 H. sapiens (D3S1295) DNA segment containing (CA) repeat; clone AFM210yc5; single read,220,1,368,40.49,41.03,98.68,243.71,1.38,216.73,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X66291.1 H.sapiens (HX58-17) alphoid repetitive DNA,3008,6,2056,46.55,46.74,99.58,213.94,5.69,2989.65,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X03692.1 Human alphoid repetitive DNA L1.26 mapping to chromosomes 13 and 21,730,2,849,53.71,54.3,98.92,184.16,4.21,722.44,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X03113.1 Human centromeric alphoid DNA repeat subunit (clone X3) (tetrameric unit X of 170 bp repeats X-a to X-d),1124,1,669,55.61,55.75,99.73,179.36,6.58,1118.03,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|Z12012.1 H.Sapiens alpha satellite DNA,6186,2,685,98.98,100.29,98.69,99.71,35.73,6179.87,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X07369.1 Human small polydisperse circular DNA (Hspc-142),2848,9,3193,32.73,34.2,95.7,292.4,3.86,2819.55,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9606|X60718.1 Human clone ps16 DNA,904,1,336,99.7,100.89,98.82,99.12,10.8,901.0,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X60717.1 Human clone ps3 DNA,4892,1,340,98.82,100.0,98.82,100.0,59.18,4888.96,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|Z14069.1 H.sapiens alpha satellite DNA (clone pW14-24),2458,2,680,99.71,100.0,99.71,100.0,16.24,2451.92,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|Z14070.1 H.sapiens alpha satellite DNA (clone pW29-19),2096,2,850,92.0,92.47,99.49,108.14,11.29,2088.4,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X06394.1 Human alphoid DNA from chromosome 3,538,1,635,45.98,47.24,97.33,211.67,3.78,532.34,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|X06646.1 Human alphoid-like repetitive DNA (Sau3A family) L-region,7144,8,2881,71.43,72.09,99.09,138.71,11.01,7118.25,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X56450.1 Human alpha satellite DNA (p-alpha-H1 clone),2430,1,456,94.3,98.68,95.56,101.33,23.14,2425.92,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9606|X14299.1 Human alpha satellite DNA (pSX1),654,1,341,98.53,100.0,98.53,100.0,7.84,650.95,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X14300.1 Human alpha satellite DNA (clone=pSX4),180,1,342,63.74,65.2,97.76,153.36,3.51,176.96,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
